Sort Code,Master sort,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Score,Frequency,Converted Ct,Transformed Ct,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
4,,"10kL Flow, Tank 20",1,20.10.1a,,,,,,,,,,013019LCB1F,F02,31.27,1,,31.27,18.731,,,22a,ePLANT5,012919LCB1G,B12,17.18,,ePlant5,080818JMR2G,D11,34.34,0,,,,,,,,,4
4,,"10kL Flow, Tank 20",1,20.10.1a,,,,,,,,,,013019LCB1F,G02,31.45,1,,31.45,18.551,,,22a,ePLANT5,012919LCB1F,A12,17.51,,ePlant5,080818JMR2G,E11,34.36,0,,,,,,,,,4
4,,"10kL Flow, Tank 20",1,20.10.1a,,,,,,,,,,013019LCB1F,H02,31.85,1,,31.85,18.151,,,22a,ePLANT5,012919LCB1F,B12,17.47,,ePlant5,080818JMR2G,F11,34.46,0,,,,,,,,,4
5,5,"10kL Flow, Tank 20",2,20.10.2a,18a,012919LCB1G,E08,16.21,,,,1, 4/4,020719LCB1G,A08,30.57,1,8/8,30.57,19.431,19.671,0.250,18a,eONKI4,012919LCB3F,A12,32.61,,ePlant5,080818JMR2G,G11,34.52,0,,,,,,,,,4
5,,"10kL Flow, Tank 20",2,20.10.2a,,012919LCB1G,F08,16.22,,,,1,,020719LCB1G,B08,30.26,1,,30.26,19.741,,,18a,eONKI4,012919LCB3F,B12,35.48,,ePlant5,080818JMR2G,H11,33.62,0,,,,,,,,,5
5,,"10kL Flow, Tank 20",2,20.10.2a,,012919LCB1G,G08,16.4,,,,1,,020719LCB1G,C08,30,1,,30,20.001,,,18a,eONKI4,013019LCB1F,A12,31.42,,ePlant5,080918JMR1H,A11,31.2,0,0/8,,,,,,,,5
5,,"10kL Flow, Tank 20",2,20.10.2a,,012919LCB1G,H08,16.52,,,,1,,020719LCB1G,D08,30.22,1,,30.22,19.781,,,18a,eONKI4,013019LCB1F,B12,31.33,,ePlant5,080918JMR1H,B11,31.28,0,,,,,,,,,5
5,,"10kL Flow, Tank 20",2,20.10.2a,,,,,,,,,,020719LCB1G,E08,30.26,1,,30.26,19.741,,,18a,eONKI4,020719LCB1F,A12,34.89,,ePlant5,080918JMR1H,C11,31.72,0,,,,,,,,,5
5,,"10kL Flow, Tank 20",2,20.10.2a,,,,,,,,,,020719LCB1G,F08,30.32,1,,30.32,19.681,,,18a,eONKI4,020719LCB1F,B12,36.1,,ePlant5,080918JMR1H,D11,31.61,0,,,,,,,,,5
5,,"10kL Flow, Tank 20",2,20.10.2a,,,,,,,,,,020719LCB1G,G08,30.2,1,,30.2,19.801,,,18a,eONKI4,020719LCB1G,A12,33.76,,ePlant5,080918JMR1H,E11,31.6,0,,,,,,,,,5
5,,"10kL Flow, Tank 20",2,20.10.2a,,,,,,,,,,020719LCB1G,H08,30.81,1,,30.81,19.191,,,18a,eONKI4,020719LCB1G,B12,34.24,,ePlant5,080918JMR1H,F11,31.69,0,,,,,,,,,5
6,6,"10kL Flow, Tank 20",3,20.10.3a,20a,012919LCB1G,E10,17.72,,,,1, 4/4,020719LCB1G,A10,32.06,1,8/8,32.06,17.941,18.646,0.331,20a,,,,,,ePlant5,080918JMR1H,G11,31.12,0,,,,,,,,,5
6,,"10kL Flow, Tank 20",3,20.10.3a,,012919LCB1G,F10,17.57,,,,1,,020719LCB1G,B10,31.03,1,,31.03,18.971,,,20a,,,,,,ePlant5,080918JMR1H,H11,31.98,0,,,,,,,,,6
6,,"10kL Flow, Tank 20",3,20.10.3a,,012919LCB1G,G10,18.05,,,,1,,020719LCB1G,C10,31.29,1,,31.29,18.711,,,20a,,,,,,eONKI4,080818JMR2H,A11,N/A,0,0/8,,,,,,,,6
6,,"10kL Flow, Tank 20",3,20.10.3a,,012919LCB1G,H10,18.03,,,,1,,020719LCB1G,D10,31.42,1,,31.42,18.581,,,20a,,,,,,eONKI4,080818JMR2H,B11,N/A,0,,,,,,,,,6
6,,"10kL Flow, Tank 20",3,20.10.3a,,,,,,,,,,020719LCB1G,E10,31.15,1,,31.15,18.851,,,20a,,,,,,eONKI4,080818JMR2H,C11,N/A,0,,,,,,,,,6
6,,"10kL Flow, Tank 20",3,20.10.3a,,,,,,,,,,020719LCB1G,F10,31.11,1,,31.11,18.891,,,20a,,,,,,eONKI4,080818JMR2H,D11,N/A,0,,,,,,,,,6
