Sort Code,Site ID,Sample replicate,Lab Code,DPN,qPCR Run,Well,Amplifiable DNA,Score,Frequency,qPCR Run,Well,ONKI,Adjusted Ct  (N/A=50),Transformed Ct (50.001-Ct),Score,Frequency,Mean Transformed Ct,Transformed Ct StDev,Spacer,Assay Plate Run Controls,,,,,,,,,,,,,,,,,,
5,"1 Fish, Tank 19",5,01.19.5,,,,,,,072518JMR3F,E03,37.08,37.08,12.92,1,,,,63,eONKI4,072518JMR4F,B12,31.32,,ePlant5,072418JMR3F,D11,38.24,0,,,,,,,,,5
5,"1 Fish, Tank 19",5,01.19.5,,,,,,,072518JMR3F,F03,36.59,36.59,13.41,1,,,,63,eONKI4,072518JMR4G,A12,31.65,,ePlant5,072418JMR3F,E11,36.59,0,,,,,,,,,5
5,"1 Fish, Tank 19",5,01.19.5,,,,,,,072518JMR3F,G03,36.78,36.78,13.22,1,,,,63,eONKI4,072518JMR4G,B12,31.74,,ePlant5,072418JMR3F,F11,37.57,0,,,,,,,,,5
5,"1 Fish, Tank 19",5,01.19.5,,,,,,,072518JMR3F,H03,39.81,39.81,10.19,1,,,,63,eONKI4,072518JMR4H,A12,30.94,,ePlant5,072418JMR3F,G11,37.11,0,,,,,,,,,5
6,"1 Fish, Tank 20",1,01.20.1,113,072418JMR3G,E03,17.44,1, 4/4,072518JMR4H,A03,31.05,31.05,18.95,1,8/8,18.64,0.29,113,eONKI4,072518JMR4H,B12,30.94,,ePlant5,072418JMR3F,H11,36.62,0,,,,,,,,,6
6,"1 Fish, Tank 20",1,01.20.1,,072418JMR3G,F03,17.92,1,,072518JMR4H,B03,31.36,31.36,18.64,1,,,,113,eONKI4,072618JMR1F,A12,30.88,,ePlant5,072418JMR3G,A11,37.77,0,0/8,,,,,,,,6
6,"1 Fish, Tank 20",1,01.20.1,,072418JMR3G,G03,17.5,1,,072518JMR4H,C03,32.03,32.03,17.97,1,,,,113,eONKI4,072618JMR1F,B12,30.67,,ePlant5,072418JMR3G,B11,37.43,0,,,,,,,,,6
6,"1 Fish, Tank 20",1,01.20.1,,072418JMR3G,H03,18.18,1,,072518JMR4H,D03,31.37,31.37,18.63,1,,,,113,eONKI4,072618JMR1G,A12,31.24,,ePlant5,072418JMR3G,C11,37.02,0,,,,,,,,,6
6,"1 Fish, Tank 20",1,01.20.1,,,,,,,072518JMR4H,E03,31,31,19.00,1,,,,113,eONKI4,072618JMR1G,B12,31.13,,ePlant5,072418JMR3G,D11,36.8,0,,,,,,,,,6
6,"1 Fish, Tank 20",1,01.20.1,,,,,,,072518JMR4H,F03,31.36,31.36,18.64,1,,,,113,eONKI4,072618JMR1H,A12,33.03,,ePlant5,072418JMR3G,E11,37.9,0,,,,,,,,,6
